Geneid	HER21	HER22	HER23	NonTNBC1	NonTNBC2	NonTNBC3	Normal1	Normal2	Normal3	TNBC1	TNBC2	TNBC3
ENSG00000237749	2	2	0	11	3	5	1	6	2	4	7	1
ENSG00000276747	0	0	0	3	4	10	0	0	0	14	6	15
ENSG00000284705	1	0	0	13	13	10	0	0	0	24	13	10
ENSG00000228776	0	0	0	1	0	1	0	0	0	5	3	0
ENSG00000159339	2	0	0	11	8	16	2	6	0	34	14	8
ENSG00000261781	0	0	0	0	3	1	0	0	0	8	3	3
ENSG00000284743	0	0	0	0	2	4	0	0	0	4	3	2
ENSG00000158315	20	133	20	123	34	28	31	62	42	75	29	62
ENSG00000186973	6	11	5	2	16	7	4	3	5	5	0	6
ENSG00000146463	1256	1351	1409	4442	1296	1597	634	1724	2266	2043	1403	1492
ENSG00000271741	0	0	1	1	0	0	0	1	0	0	0	0
ENSG00000142686	167	117	108	419	247	254	120	196	224	394	189	217
ENSG00000224751	7	28	16	10	8	18	0	0	0	10	4	14
ENSG00000117148	7	67	43	3	7	6	0	0	0	47	89	38
ENSG00000230585	25	73	24	13	19	6	1	10	7	10	13	12
ENSG00000117000	837	2284	962	1422	557	660	1771	5770	8181	895	545	859
ENSG00000284989	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	1	0	0	0	2	0	0
ENSG00000092853	173	522	200	588	162	174	16	32	32	1248	243	350
ENSG00000255811	0	0	1	2	0	1	0	0	0	0	1	1
ENSG00000134697	502	1850	790	2347	783	868	1366	3038	4443	1271	997	779
ENSG00000187513	28	28	19	56	45	59	482	2324	2255	39	47	30
ENSG00000225142	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000230138	6	0	2	8	5	9	0	0	0	4	14	1
ENSG00000223390	5	10	4	4	2	1	2	0	0	3	1	3
ENSG00000284720	0	0	2	3	3	4	0	0	0	9	2	3
ENSG00000225671	0	0	0	6	0	0	1	1	3	6	0	2
ENSG00000116151	51	63	93	239	196	175	144	206	186	72	74	65
ENSG00000006555	29	180	35	492	16	23	56	123	132	231	222	210
ENSG00000236111	0	1	0	4	0	1	0	2	0	2	1	1
ENSG00000066056	120	81	82	263	251	278	443	2120	1891	192	308	141
ENSG00000214114	242	692	264	599	342	263	172	303	192	219	113	132
ENSG00000116544	11	12	7	18	12	11	4	4	9	38	8	13
ENSG00000231900	0	0	0	2	0	2	0	0	0	3	2	0
ENSG00000236723	3	1	2	7	1	3	1	0	0	2	4	1
ENSG00000232467	7	12	11	4	2	4	0	0	0	7	4	4
ENSG00000117016	54	88	127	583	65	100	32	67	65	332	187	326
ENSG00000169213	50	35	52	46	1376	349	24	166	52	44	37	43
ENSG00000163866	173	346	169	843	288	300	290	514	519	492	294	303
ENSG00000237130	5	17	6	0	1	3	0	0	0	4	0	0
ENSG00000232335	2	1	0	1	0	2	0	0	1	2	0	0
ENSG00000260971	17	22	23	8	17	14	8	11	16	37	15	13
ENSG00000284696	0	1	0	1	3	5	0	0	0	12	5	11
ENSG00000238242	0	0	1	1	0	2	0	0	0	5	0	2
ENSG00000285839	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232762	4	37	7	8	8	8	0	0	1	9	4	6
ENSG00000162384	133	277	195	728	292	294	301	500	453	196	200	346
ENSG00000162391	5	2	0	21	3	11	1	2	3	29	10	25
ENSG00000117859	880	1579	795	1716	920	956	776	2806	3158	581	718	529
ENSG00000228121	6	3	1	9	6	9	0	1	0	10	2	4
ENSG00000253313	28	21	31	312	89	79	178	262	255	98	76	122
ENSG00000162396	46	104	40	95	74	73	26	35	39	57	49	67
ENSG00000284686	4	9	10	6	4	4	11	46	95	8	14	15
ENSG00000162378	826	1583	927	2860	918	1241	151	674	1101	697	982	957
ENSG00000233079	0	1	1	2	5	3	1	0	1	8	3	1
ENSG00000259818	3	6	2	15	2	2	3	1	3	6	2	7
ENSG00000229444	0	2	1	2	2	1	1	0	3	7	2	2
ENSG00000240563	2	69	4	14	13	38	1	21	71	20	33	10
ENSG00000234318	0	1	0	2	0	0	0	0	0	8	1	0
ENSG00000284773	7	17	3	16	9	3	7	9	26	8	2	1
ENSG00000234481	0	0	0	2	0	3	0	0	0	6	3	4
ENSG00000117862	62	141	133	212	75	59	109	184	157	47	89	76
ENSG00000235612	0	0	0	1	1	2	1	0	0	1	3	1
ENSG00000228369	2	5	8	2	4	2	1	0	0	1	0	5
ENSG00000227485	0	0	0	1	0	0	0	0	0	3	0	0
ENSG00000224609	7	16	6	11	4	6	7	20	20	35	7	14
ENSG00000235545	1	17	0	3	6	4	3	1	1	12	5	0
ENSG00000236646	11	4	8	6	12	6	1	0	1	5	5	2
ENSG00000232198	1	0	0	0	0	1	0	0	0	1	0	6
ENSG00000238063	1	2	4	5	5	7	0	0	0	18	4	6
ENSG00000227104	0	0	0	0	1	1	0	0	0	6	2	1
ENSG00000243725	16	38	15	64	27	20	37	57	92	24	21	19
ENSG00000171872	0	1	0	19	5	11	1	0	3	27	10	10
ENSG00000162407	631	478	475	890	397	549	1018	6608	13783	375	723	511
ENSG00000285079	7	1	5	3	2	6	0	0	0	12	7	1
ENSG00000163877	248	516	250	688	280	331	677	1043	1367	263	203	196
ENSG00000228929	21	26	37	54	15	31	32	101	69	58	30	45
ENSG00000224570	6	2	5	3	9	8	3	6	8	8	0	10
ENSG00000224980	0	0	1	1	2	0	0	0	0	3	1	0
ENSG00000278967	12	50	12	14	13	18	0	0	3	26	3	6
ENSG00000157184	134	176	181	452	175	184	61	92	105	135	129	155
ENSG00000198815	927	1851	996	1541	659	731	687	2521	3903	607	526	663
ENSG00000134744	972	2152	846	763	490	498	414	1569	2047	642	520	383
ENSG00000233910	0	0	0	0	0	1	0	0	0	9	1	0
ENSG00000287703	0	0	1	4	0	6	0	0	0	15	3	5
ENSG00000283039	0	0	0	3	3	9	0	0	0	17	6	6
ENSG00000229032	1	0	0	1	0	1	0	0	0	5	1	0
ENSG00000229294	1	1	2	7	2	4	0	0	0	7	3	2
ENSG00000234088	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000236973	7	18	7	5	10	9	2	2	2	4	0	2
ENSG00000277397	0	0	0	0	1	0	0	0	0	3	0	5
ENSG00000235446	0	0	0	1	0	0	0	0	0	0	2	0
ENSG00000162385	106	360	163	611	137	186	506	763	766	218	259	229
ENSG00000234264	0	5	2	4	0	2	0	0	0	2	4	3
ENSG00000223883	3	0	0	2	3	6	0	0	0	10	8	9
ENSG00000237227	0	0	0	0	1	2	0	0	0	3	0	3
ENSG00000275350	0	1	0	2	2	4	0	0	0	3	0	4
ENSG00000116652	24	61	47	40	24	24	5	4	10	44	11	12
ENSG00000123080	54	131	139	471	137	202	80	245	265	433	406	326
ENSG00000285778	1	0	0	0	3	9	0	0	0	29	5	5
ENSG00000233407	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225675	1	0	2	0	2	1	0	0	0	1	0	0
ENSG00000237622	0	0	0	0	0	0	0	0	0	4	0	0
ENSG00000162598	1	0	0	8	3	4	0	1	1	19	5	3
