,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000007968,88.05283404,2.688589821,0.503695616,5.337727257,9.41E-08,2.50E-06
ENSG00000117318,409.1188566,-2.09342557,0.537163247,-3.8971869,9.73E-05,0.000854586
ENSG00000285802,1.610334908,4.595942099,1.929465508,2.381976811,0.017219982,0.046081641
ENSG00000229239,1.457803598,5.110292567,2.156037695,2.370224128,0.017777305,0.047192389
ENSG00000142676,7423.396547,-1.236086241,0.44760231,-2.761572523,0.005752374,0.020199028
ENSG00000057757,515.93486,-1.466579516,0.337947138,-4.339671365,1.43E-05,0.000180039
ENSG00000235748,5.256176135,5.872276738,1.449069659,4.052446133,5.07E-05,0.000503357
ENSG00000237861,3.775967878,4.11222412,1.543377157,2.664432412,0.007711836,0.025228893
ENSG00000226919,1.398186377,4.471690955,1.854244843,2.411596814,0.015882834,0.043361144
ENSG00000286496,3.40106174,5.883811779,1.738715193,3.38399975,0.000714381,0.004099549
ENSG00000287516,11.2368363,4.212705785,0.866401692,4.862300968,1.16E-06,2.22E-05
ENSG00000223603,2.215197047,5.419144068,1.726246026,3.139265195,0.001693721,0.007960146
ENSG00000132693,8.594696979,3.292549766,0.932838576,3.529602926,0.000416184,0.002689623
ENSG00000181036,34.0400513,2.720678016,0.645532431,4.214626384,2.50E-05,0.000284185
ENSG00000158714,104.7947743,4.024743996,0.745021724,5.40218341,6.58E-08,1.83E-06
ENSG00000266458,1.588965273,5.012322411,2.017586588,2.484315886,0.012980061,0.037264186
ENSG00000279430,5.576029386,2.156778784,0.901334587,2.392872542,0.016717047,0.045064657
ENSG00000162723,7.955394278,3.363966752,0.93690474,3.590510975,0.00033003,0.002235693
ENSG00000273933,2.937320965,4.628289682,1.891245056,2.447218391,0.014396358,0.040235762
ENSG00000254545,2.215962287,4.156726968,1.771056377,2.347032552,0.018923601,0.049431886
ENSG00000203620,3.5754354,5.448932515,1.559578405,3.493849682,0.000476109,0.002994036
ENSG00000163399,7749.795468,-1.322053482,0.346984453,-3.810123102,0.000138898,0.001138639
ENSG00000233154,7.31765186,3.188796495,1.022912086,3.117371022,0.001824718,0.008431705
ENSG00000224950,12.29474751,1.983248421,0.713189174,2.780816776,0.005422233,0.019350238
ENSG00000286276,6.378968866,5.538951161,1.422539429,3.893706599,9.87E-05,0.000862958
ENSG00000177888,1387.155887,1.3881488,0.380875169,3.644629297,0.000267777,0.001901648
ENSG00000243364,181.1712246,1.156263512,0.484235796,2.387810902,0.01694906,0.045525685
ENSG00000169242,1457.072838,-2.146707733,0.509828675,-4.210645339,2.55E-05,0.000287832
ENSG00000143627,10.02577774,3.726160465,0.986706934,3.776359867,0.000159137,0.001263542
ENSG00000228523,1.75233496,4.765920082,1.790832286,2.661287783,0.007784239,0.025390652
ENSG00000197721,6.514783358,2.135524805,0.910800773,2.344667317,0.019044064,0.049662603
ENSG00000234219,6.337376687,4.131121113,1.255090337,3.291493043,0.000996571,0.005285707
ENSG00000174059,938.7846831,-2.50160347,0.485318094,-5.154564605,2.54E-07,5.93E-06
ENSG00000284237,17.96198928,2.578204897,0.724186931,3.560137289,0.000370661,0.002453464
ENSG00000142657,896.6925562,-1.217226482,0.390318489,-3.118546822,0.001817453,0.008405568
ENSG00000175279,19.24946559,1.540306467,0.585083855,2.632625141,0.00847278,0.027047672
ENSG00000122188,157.4229076,3.975968196,0.651452552,6.103235275,1.04E-09,4.82E-08
ENSG00000227417,11.51481683,3.276217614,1.080116723,3.033207007,0.002419696,0.010522359
ENSG00000236430,5.409394466,4.361015746,1.331606675,3.275002918,0.001056609,0.005530459
ENSG00000240750,5.303850805,5.765210543,1.445990082,3.987033254,6.69E-05,0.00063129
ENSG00000158156,90.75136728,1.010913666,0.391967781,2.579073372,0.009906574,0.030448147
ENSG00000143633,174.8358545,1.963271885,0.458031218,4.286327671,1.82E-05,0.000220024
ENSG00000070759,140.6449817,-1.708877192,0.472849825,-3.613995613,0.000301514,0.002081074
ENSG00000132763,141.7157281,1.453741997,0.432039562,3.364835366,0.000765893,0.004321591
ENSG00000286216,9.831165832,2.90681031,0.890559849,3.264025784,0.001098412,0.005700721
ENSG00000177489,1.799235699,5.150896574,2.120044045,2.429617718,0.015114756,0.041799324
ENSG00000287589,3.451360478,6.184126874,1.667094896,3.70952301,0.00020765,0.001564205
ENSG00000259776,1.885849827,4.844128645,1.7932447,2.701320487,0.006906475,0.023212243
ENSG00000233355,24.79661775,3.555932295,0.723929793,4.911985013,9.02E-07,1.78E-05
ENSG00000287102,2.100287326,4.909381656,1.770068592,2.77355447,0.005544756,0.019662898
ENSG00000228818,7.226721606,4.828242654,1.185882719,4.07143352,4.67E-05,0.00047142
ENSG00000162639,184.997168,1.995831593,0.496386987,4.02071699,5.80E-05,0.00056219
ENSG00000134186,1324.83679,-1.702792679,0.355516183,-4.789634788,1.67E-06,3.00E-05
ENSG00000143107,8.332515889,2.728798369,0.978107073,2.789876943,0.005272808,0.018925675
ENSG00000228076,5.568329799,4.486140003,1.474980684,3.041490679,0.002354099,0.010299489
ENSG00000244716,165.012972,-3.442312104,0.460652887,-7.472681054,7.86E-14,8.90E-12
ENSG00000227673,1.99661305,4.729430029,1.7890093,2.643602819,0.008202885,0.026407932
ENSG00000234937,5.821893455,4.61028344,1.427750116,3.229054851,0.001242001,0.006257157
ENSG00000132680,1248.699868,-1.013606421,0.3418264,-2.965266644,0.003024207,0.012442111
ENSG00000207475,247.6909431,6.687776466,1.064111095,6.28484798,3.28E-10,1.70E-08
ENSG00000273002,16.62816265,3.186888676,0.695145138,4.584493942,4.55E-06,6.98E-05
ENSG00000285677,9.683810598,1.967301097,0.76984379,2.555454914,0.01060491,0.032045488
ENSG00000260238,2.97697266,-4.370307989,1.60614534,-2.720991606,0.006508641,0.022202637
ENSG00000163472,160.4119938,1.365571902,0.508473326,2.685631344,0.007239292,0.024067636
ENSG00000237390,8.903320107,6.39313183,1.378291146,4.638448016,3.51E-06,5.65E-05
ENSG00000186377,216.0881423,-4.813793578,0.977060739,-4.92681098,8.36E-07,1.67E-05
ENSG00000186160,188.9104098,-3.872311063,1.572346592,-2.462759218,0.013787247,0.038973891
ENSG00000237424,19.17403158,1.713007587,0.617721439,2.773106903,0.005552388,0.019676965
ENSG00000162763,2.211742339,4.335305046,1.704131768,2.543996378,0.010959222,0.03284545
ENSG00000135821,7883.028008,-1.150288749,0.336515568,-3.418233381,0.00063029,0.003728051
ENSG00000203740,6.240142318,6.474721583,1.462033849,4.428571601,9.49E-06,0.000127945
ENSG00000162374,17.91546633,5.552074686,1.10150562,5.040441541,4.64E-07,9.94E-06
ENSG00000168275,226.2376522,1.955494149,0.486883987,4.016345166,5.91E-05,0.000571392
ENSG00000033122,34.20440813,2.046900811,0.550136627,3.720713566,0.000198661,0.001506534
ENSG00000116678,381.0547323,-2.499144214,0.652412953,-3.830617098,0.000127822,0.001063701
ENSG00000162734,3888.515626,-1.411786893,0.483065466,-2.922558105,0.003471688,0.013819871
ENSG00000126091,91.63116645,1.589819989,0.47139685,3.372572365,0.000744695,0.004234561
ENSG00000158786,14.52441391,5.771013063,1.326730484,4.349800605,1.36E-05,0.000173175
ENSG00000179085,161.6115057,1.484519803,0.486429145,3.051872646,0.002274186,0.010022242
ENSG00000224904,3.33348511,4.43543401,1.601363692,2.769785548,0.005609321,0.019823269
ENSG00000285646,25.88887853,1.617169802,0.638612393,2.532318224,0.01133111,0.033667853
ENSG00000201801,4.696753958,5.210494039,1.594697948,3.26738618,0.001085455,0.005646798
ENSG00000285604,1.568515133,4.971061352,1.923664373,2.584162508,0.009761579,0.030124326
ENSG00000162522,1514.20373,-2.612595914,0.259000185,-10.0872357,6.29E-24,3.13E-21
ENSG00000287691,15.37167687,-1.941557046,0.691293084,-2.808587401,0.004975937,0.018174955
ENSG00000158859,4307.697945,-4.199611011,0.774406429,-5.423006389,5.86E-08,1.66E-06
ENSG00000158869,248.4029975,1.719051136,0.556215503,3.09062068,0.001997386,0.00905245
ENSG00000158874,4.651476456,3.670494155,1.431754844,2.563633131,0.010358297,0.031491512
ENSG00000158882,193.9130285,1.897106617,0.616575915,3.07684191,0.002092062,0.009390109
ENSG00000143257,17.67871349,2.110364654,0.660954978,3.192902277,0.001408506,0.006902895
ENSG00000265107,140.9089288,1.385434359,0.576006233,2.405241958,0.016161761,0.04391912
ENSG00000223728,2.643152698,5.635361345,1.735046781,3.24795931,0.001162359,0.005949866
ENSG00000121634,4.977037156,5.344888023,1.545854237,3.457562748,0.000545085,0.003327185
ENSG00000206791,3.720893174,5.095190566,1.517467949,3.357692378,0.00078596,0.00440686
